"selec","View","Channel","start","end","sound.files","Begin Path","File Offset (s)","score","class","event","audio","video","video_folder","org.sound.files","ovlp.sels","class_fixed","old.selec","selec.file","detection"
462,"Spectrogram 1",1,1.600756,1.600756,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",1.600756,NA,"call","",NA,NA,"","ch1MPI2020-01-17_09-36-16_0000030.wav",NA,"clap",NA,"raven_selection_table_calls_for_videos_2021.txt","manual"
14,"Spectrogram 1",1,22.412067,22.463067,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",22.412067,0.3966121,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch2MPI2020-01-17_09-36-16_0000030.wav",NA,"call",27,"raven_selection_table_calls_for_videos_2021.txt","automatic"
1,"Spectrogram 1",1,37.931456,37.982456,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",37.931456,0.688559,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",1,"call",1,"raven_selection_table_calls_for_videos_2021.txt","automatic"
2,"Spectrogram 1",1,93.882978,93.933978,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",93.882978,0.5836991,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch4MPI2020-01-17_09-36-16_0000030.wav",2,"call",15,"raven_selection_table_calls_for_videos_2021.txt","automatic"
3,"Spectrogram 1",1,102.8197,102.8707,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",102.8197,0.7824305,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",3,"call",43,"raven_selection_table_calls_for_videos_2021.txt","automatic"
4,"Spectrogram 1",1,114.849,114.9,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",114.849,0.4677928,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",4,"call",44,"raven_selection_table_calls_for_videos_2021.txt","automatic"
5,"Spectrogram 1",1,115.8757,115.9267,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",115.8757,0.7424796,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",5,"call",45,"raven_selection_table_calls_for_videos_2021.txt","automatic"
6,"Spectrogram 1",1,120.1497,120.2007,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",120.1497,0.5695345,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",6,"call",46,"raven_selection_table_calls_for_videos_2021.txt","automatic"
7,"Spectrogram 1",1,123.2471,123.2981,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",123.2471,0.5368894,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",7,"call",7,"raven_selection_table_calls_for_videos_2021.txt","automatic"
8,"Spectrogram 1",1,123.6397,123.6907,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",123.6397,0.6555496,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch4MPI2020-01-17_09-36-16_0000030.wav",8,"call",21,"raven_selection_table_calls_for_videos_2021.txt","automatic"
9,"Spectrogram 1",1,126.4404,126.4914,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",126.4404,0.6929964,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch4MPI2020-01-17_09-36-16_0000030.wav",9,"call",22,"raven_selection_table_calls_for_videos_2021.txt","automatic"
10,"Spectrogram 1",1,127.6491,127.7001,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",127.6491,0.6935002,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",10,"call",10,"raven_selection_table_calls_for_videos_2021.txt","automatic"
11,"Spectrogram 1",1,128.0291,128.0801,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",128.0291,0.5584177,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",11,"call",11,"raven_selection_table_calls_for_videos_2021.txt","automatic"
12,"Spectrogram 1",1,129.3204,129.3714,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",129.3204,0.7102627,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",12,"call",12,"raven_selection_table_calls_for_videos_2021.txt","automatic"
13,"Spectrogram 1",1,129.6138,129.6648,"ch1MPI2020-01-17_09-36-16_0000030.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav",129.6138,0.6964291,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",13,"call",13,"raven_selection_table_calls_for_videos_2021.txt","automatic"
463,"Spectrogram 1",1,1.138878,1.138878,"ch1MPI2020-01-18_10-28-46_0000038.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav",1.138878,NA,"call","",NA,NA,"","ch1MPI2020-01-18_10-28-46_0000038.wav",NA,"clap",NA,"raven_selection_table_calls_for_videos_2021.txt","manual"
15,"Spectrogram 1",1,14.804733,14.855733,"ch1MPI2020-01-18_10-28-46_0000038.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav",14.804733,0.6990615,"call","MPI2020-01-18_10-28-46_0000038.wav",38,43,"T43_G3_2020","ch1MPI2020-01-18_10-28-46_0000038.wav",1,"call",1,"raven_selection_table_calls_for_videos_2021.txt","automatic"
16,"Spectrogram 1",1,15.5774,15.6284,"ch1MPI2020-01-18_10-28-46_0000038.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav",15.5774,0.6494465,"call","MPI2020-01-18_10-28-46_0000038.wav",38,43,"T43_G3_2020","ch1MPI2020-01-18_10-28-46_0000038.wav",2,"call",2,"raven_selection_table_calls_for_videos_2021.txt","automatic"
17,"Spectrogram 1",1,16.156744,16.207744,"ch1MPI2020-01-18_10-28-46_0000038.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav",16.156744,0.6621413,"call","MPI2020-01-18_10-28-46_0000038.wav",38,43,"T43_G3_2020","ch4MPI2020-01-18_10-28-46_0000038.wav",3,"call",391,"raven_selection_table_calls_for_videos_2021.txt","automatic"
18,"Spectrogram 1",1,17.164078,17.215078,"ch1MPI2020-01-18_10-28-46_0000038.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav",17.164078,0.8378354,"call","MPI2020-01-18_10-28-46_0000038.wav",38,43,"T43_G3_2020","ch1MPI2020-01-18_10-28-46_0000038.wav",4,"call",4,"raven_selection_table_calls_for_videos_2021.txt","automatic"
19,"Spectrogram 1",1,18.619422,18.670422,"ch1MPI2020-01-18_10-28-46_0000038.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav",18.619422,0.7713811,"call","MPI2020-01-18_10-28-46_0000038.wav",38,43,"T43_G3_2020","ch1MPI2020-01-18_10-28-46_0000038.wav",5,"call",5,"raven_selection_table_calls_for_videos_2021.txt","automatic"
20,"Spectrogram 1",1,20.414089,20.465089,"ch1MPI2020-01-18_10-28-46_0000038.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav",20.414089,0.8104531,"call","MPI2020-01-18_10-28-46_0000038.wav",38,43,"T43_G3_2020","ch1MPI2020-01-18_10-28-46_0000038.wav",6,"call",6,"raven_selection_table_calls_for_videos_2021.txt","automatic"
